Problem,time,z3 Result
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0024.smt2,0.013765,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0026.smt2,0.01303,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0028.smt2,0.013272,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0029.smt2,0.033868,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0030.smt2,0.035599,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0031.smt2,0.011076,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0032.smt2,0.014606,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0033.smt2,0.009313,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0034.smt2,0.008786,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0035.smt2,0.010662,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0036.smt2,0.015328,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0037.smt2,0.014116,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0038.smt2,0.013358,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0039.smt2,0.017708,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0040.smt2,0.019219,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0041.smt2,0.016223,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0042.smt2,0.015853,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0043.smt2,0.00697,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0044.smt2,0.013312,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0045.smt2,0.033476,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0046.smt2,0.03242,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0047.smt2,0.038549,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0048.smt2,0.030474,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0049.smt2,0.0099,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0050.smt2,0.029436,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0051.smt2,0.045827,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0052.smt2,0.014186,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0053.smt2,0.034885,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0054.smt2,0.031711,sat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0055.smt2,0.020986,unsat
QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0056.smt2,0.019305,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0006.smt2,0.010247,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0007.smt2,0.016118,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0008.smt2,0.012022,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0009.smt2,0.012488,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0010.smt2,0.014384,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0011.smt2,0.015833,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0012.smt2,0.027147,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0013.smt2,0.032067,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0016.smt2,0.007385,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0018.smt2,0.010872,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0019.smt2,0.031717,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0022.smt2,0.014669,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0024.smt2,0.024367,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0025.smt2,0.016239,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0026.smt2,0.034312,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0027.smt2,0.003948,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0028.smt2,0.009804,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0029.smt2,0.027462,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0032.smt2,0.032153,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0033.smt2,0.014632,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0034.smt2,0.016263,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0035.smt2,0.021701,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0036.smt2,0.031058,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0037.smt2,0.029828,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0038.smt2,0.036765,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0039.smt2,0.031644,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0040.smt2,0.035291,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0042.smt2,0.02848,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0043.smt2,0.027777,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0044.smt2,0.031422,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0045.smt2,0.026281,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0046.smt2,0.031845,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0047.smt2,0.051998,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0048.smt2,0.04427,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0049.smt2,0.013179,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0050.smt2,0.011604,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0051.smt2,0.004316,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0052.smt2,0.036686,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0053.smt2,0.02087,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0054.smt2,0.007697,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0055.smt2,0.031471,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0056.smt2,0.026862,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0057.smt2,0.035538,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0058.smt2,0.043792,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0059.smt2,0.00863,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0060.smt2,0.038045,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0062.smt2,0.025199,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0063.smt2,0.033987,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0064.smt2,0.016811,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0065.smt2,0.036877,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0066.smt2,0.033588,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0067.smt2,0.014342,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0068.smt2,0.025733,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0069.smt2,0.032364,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0070.smt2,0.011099,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0071.smt2,0.013352,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0072.smt2,0.053518,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0073.smt2,0.027116,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0074.smt2,0.010644,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0075.smt2,0.020682,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0076.smt2,0.048215,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0077.smt2,0.02607,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0078.smt2,0.028277,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0079.smt2,0.050936,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0080.smt2,0.045506,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0081.smt2,0.033364,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0082.smt2,0.039391,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0083.smt2,0.024517,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0084.smt2,0.037442,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0085.smt2,0.026733,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0086.smt2,0.049038,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0087.smt2,0.05222,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0088.smt2,0.040824,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0089.smt2,0.020562,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0090.smt2,0.040714,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0091.smt2,0.017917,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0092.smt2,0.037379,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0093.smt2,0.009998,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0094.smt2,0.035258,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0095.smt2,0.037472,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0096.smt2,0.011962,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0097.smt2,0.049637,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0098.smt2,0.037378,sat
