Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
zankl/matrix-4-all-01.smt2,139,48,275,500.016,487.935,1.14182,0.046992,3.61848,0.038996,0.532914,1462.0,9567.0,8005.0,9607.0,2108.0,6991.0,508.0,unknown,Timeout,0,0
zankl/matrix-4-all-10.smt2,104,54,276,500.305,473.704,2.45862,0.004999,0.720875,16.0416,0.072986,1594.0,3212.0,1459.0,3412.0,2483.0,500.0,429.0,unknown,Timeout,0,0
zankl/matrix-4-all-11.smt2,129,74,387,501.927,405.654,0.848868,0.0,0.088988,89.0035,0.004999,850.0,470.0,176.0,718.0,710.0,0.0,8.0,unknown,Timeout,0,0
zankl/matrix-4-all-12.smt2,200,50,455,500.102,367.894,111.633,0.019997,3.08557,6.40501,0.247966,2275.0,5553.0,2595.0,5893.0,3458.0,2189.0,246.0,unknown,Timeout,0,0
zankl/matrix-4-all-13.smt2,152,38,273,500.011,319.91,38.1623,0.30496,33.4218,2.7566,6.594,2583.0,39053.0,34721.0,39533.0,4583.0,15338.0,19612.0,unknown,Timeout,0,0
zankl/matrix-4-all-14.smt2,185,62,328,500.081,454.012,34.9877,0.049995,2.69963,5.04623,0.364945,1657.0,7358.0,4334.0,7546.0,2335.0,3705.0,1506.0,unknown,Timeout,0,0
zankl/matrix-4-all-15.smt2,215,48,524,500.045,368.197,19.3531,0.002,11.0213,0.312961,0.931884,1977.0,11342.0,9633.0,11670.0,2608.0,157.0,8905.0,unknown,Timeout,0,0
zankl/matrix-4-all-16.smt2,74,48,141,500.102,487.645,2.88455,0.25096,1.17583,6.21406,0.383936,1599.0,13680.0,4068.0,13818.0,2910.0,10356.0,552.0,unknown,Timeout,0,0
zankl/matrix-4-all-17.smt2,119,104,213,500.535,390.258,2.5776,0.0,0.137979,105.359,0.009997,1086.0,1476.0,378.0,1508.0,1508.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-18.smt2,134,96,258,501.715,493.123,0.463932,0.003,0.051996,6.08307,0.003,632.0,496.0,183.0,608.0,493.0,112.0,3.0,unknown,Timeout,0,0
zankl/matrix-4-all-19.smt2,344,70,851,501.412,490.467,0.76288,0.001,0.607913,0.007,0.008,1385.0,454.0,201.0,494.0,389.0,43.0,62.0,unknown,Timeout,0,0
zankl/matrix-4-all-2.smt2,119,42,250,7.95779,6.46603,0.721889,0.0,0.029993,0.248959,0.0,581.0,235.0,114.0,431.0,424.0,0.0,7.0,unknown,sat,0,0
zankl/matrix-4-all-20.smt2,118,20,172,500.001,293.063,4.57928,1.26481,39.6609,0.153971,8.57067,1752.0,168277.0,91052.0,168361.0,2941.0,160401.0,5019.0,unknown,Timeout,0,0
zankl/matrix-4-all-21.smt2,139,74,463,500.138,477.184,12.5811,0.053993,1.72673,0.86487,0.120984,1076.0,4016.0,3101.0,4178.0,953.0,3106.0,119.0,unknown,Timeout,0,0
zankl/matrix-4-all-22.smt2,188,74,715,500.192,479.98,0.432934,0.072988,1.42078,0.855868,0.045998,1045.0,4010.0,1968.0,4122.0,284.0,3838.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-23.smt2,606,282,1563,674.9,413.872,0.090986,0.0,0.055993,226.135,0.0,2173.0,4.0,3.0,8.0,8.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-24.smt2,74,60,128,500.372,468.806,6.26507,0.003999,0.181972,24.8392,0.016997,1064.0,1873.0,637.0,1961.0,1733.0,228.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-25.smt2,85,68,286,500.022,491.913,1.2918,0.153977,2.6956,0.568917,0.516919,1635.0,18301.0,5270.0,18527.0,2717.0,15757.0,53.0,unknown,Timeout,0,0
zankl/matrix-4-all-26.smt2,74,48,345,500.038,480.03,0.727881,0.298942,2.90152,0.308958,0.474929,1141.0,27442.0,6715.0,27562.0,1576.0,25965.0,21.0,unknown,Timeout,0,0
zankl/matrix-4-all-27.smt2,45,44,80,501.098,478.155,0.542914,0.006,0.034994,19.548,0.005999,401.0,785.0,284.0,857.0,572.0,256.0,29.0,unknown,Timeout,0,0
zankl/matrix-4-all-29.smt2,94,30,128,0.030996,0.013998,0.0,0.0,0.001,0.0,0.0,444.0,0.0,4.0,2.0,0.0,2.0,0.0,unknown,unsat,0,0
zankl/matrix-4-all-3.smt2,139,73,244,115.16,90.7822,23.2125,0.0,0.101983,0.595895,0.003,985.0,1100.0,308.0,1210.0,1204.0,0.0,6.0,unknown,sat,0,0
zankl/matrix-4-all-31.smt2,74,12,128,500.004,195.422,0.745893,0.879847,19.958,0.063989,6.30211,786.0,106513.0,102839.0,106587.0,1349.0,104814.0,424.0,unknown,Timeout,0,0
zankl/matrix-4-all-33.smt2,94,34,182,0.050993,0.022997,0.0,0.0,0.0,0.0,0.0,552.0,0.0,4.0,4.0,0.0,4.0,0.0,unknown,unsat,0,0
zankl/matrix-4-all-4.smt2,105,68,235,500.099,486.085,2.13968,0.001999,0.383955,6.68497,0.031996,1542.0,2683.0,920.0,2875.0,2487.0,207.0,181.0,unknown,Timeout,0,0
zankl/matrix-4-all-5.smt2,130,34,797,500.025,454.097,3.78243,0.021999,3.92538,0.084988,0.126984,1981.0,5503.0,3240.0,5705.0,2520.0,3109.0,76.0,unknown,Timeout,0,0
zankl/matrix-4-all-6.smt2,79,54,157,500.155,490.349,1.67973,0.147978,1.78171,5.36318,0.211969,1542.0,7924.0,3165.0,8066.0,2723.0,5298.0,45.0,unknown,Timeout,0,0
zankl/matrix-4-all-7.smt2,178,97,260,496.171,471.975,23.9054,0.0,0.113981,0.542914,0.005999,984.0,1022.0,274.0,1092.0,1092.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-4-all-8.smt2,110,53,169,500.045,421.83,76.4213,0.009997,1.67278,2.22466,0.230969,1913.0,5224.0,2598.0,5324.0,3375.0,514.0,1435.0,unknown,Timeout,0,0
zankl/matrix-4-all-9.smt2,193,61,263,0.32795,0.227965,0.007998,0.0,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-5-all-01.smt2,132,47,276,500.044,494.185,1.38378,0.050985,0.502935,1.98671,0.060988,896.0,2840.0,1170.0,3028.0,1043.0,1985.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-10.smt2,334,77,569,500.052,362.207,104.496,0.0,7.65883,1.24881,0.225967,1861.0,3970.0,2963.0,4428.0,1944.0,6.0,2478.0,unknown,Timeout,0,0
