Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
zankl/matrix-1-all-6.smt2,35,10,86,500.002,240.777,2.36265,5.71809,48.1437,0.069987,102.725,2343.0,1239920.0,401641.0,1240090.0,4667.0,1233160.0,2262.0,sat,Timeout,0,0
zankl/matrix-1-all-7.smt2,23,6,45,500.00179,74.955573,12.198188,1.39179,14.541752,0.630892,315.198292,61326.0,479658.0,445793.0,622158.0,122321.0,470289.0,29548.0,sat,Timeout,0,0
zankl/matrix-1-all-8.smt2,36,10,79,500.001,228.354,0.910861,7.44687,52.356,0.04899,143.276,1675.0,1118260.0,446919.0,1118320.0,3433.0,1114390.0,496.0,sat,Timeout,0,0
zankl/matrix-1-all-9.smt2,23,7,45,500.001,169.943,1.00386,4.20432,53.042,0.030996,174.07,1746.0,805204.0,923972.0,1123160.0,3766.0,1117980.0,1412.0,sat,Timeout,0,0
zankl/matrix-2-all-01.smt2,45,18,104,500.002,350.281,0.795873,4.10337,39.343,0.104979,28.7847,1189.0,459170.0,248144.0,459252.0,2338.0,456688.0,226.0,sat,Timeout,0,0
zankl/matrix-2-all-10.smt2,17,16,30,500.002,419.651,1.40979,4.31034,11.5103,0.359948,45.9281,795.0,558433.0,275845.0,558463.0,1603.0,554814.0,2046.0,sat,Timeout,0,0
zankl/matrix-2-all-11.smt2,17,16,31,500.003,451.997,8.88167,1.68373,8.79665,1.03784,18.6712,1298.0,188806.0,155728.0,188838.0,2738.0,175485.0,10615.0,unknown,Timeout,0,0
zankl/matrix-2-all-12.smt2,17,16,25,0.45893,0.24296,0.067993,0.0,0.005999,0.135978,-5.55112e-17,212.0,308.0,86.0,340.0,340.0,0.0,0.0,sat,sat,0,0
zankl/matrix-2-all-13.smt2,116,24,301,500.019,290.351,14.8318,0.0,4.71731,0.130978,2.06569,1461.0,21659.0,20082.0,21671.0,2112.0,3.0,19556.0,unknown,Timeout,0,0
zankl/matrix-2-all-14.smt2,40,10,60,500.001,201.794,1.05085,5.9831,42.3675,0.042994,122.87,1614.0,1327080.0,517472.0,1327120.0,3114.0,1322210.0,1792.0,unknown,Timeout,0,0
